id,title,place_name,place_address
st_15250,이재곧죽습니다,교대이층집 상암점,서울 마포구 월드컵북로48길 19
st_15252,이재곧죽습니다,합정역스퀘어리버뷰어피스텔,서울 마포구 양화로 13
st_15254,이재곧죽습니다,연남장,서울 서대문구 연희로5길 22
st_15255,이재곧죽습니다,서소문아파트,서울 서대문구 충정로6길 59
st_15256,이재곧죽습니다,어도횟집,서울 서대문구 충정로6안길 4
st_15257,이재곧죽습니다,약현성당,서울 중구 청파로 447-1
st_15259,이재곧죽습니다,북파크라운지,서울 용산구 이태원로 294
st_15260,이재곧죽습니다,중앙고등학교,서울 종로구 창덕궁길 164
st_15261,이재곧죽습니다,종각역4번출구,서울 종로구 종로2가 84-11
st_15263,이재곧죽습니다,신설동종합시장 우성빌딩,서울 종로구 종로66길 50
st_15264,이재곧죽습니다,서울시립대 경농관 앞,서울 동대문구 서울시립대로 163
st_15265,이재곧죽습니다,녹천역,서울 도봉구 덕릉로 376
st_15268,이재곧죽습니다,테헤란로,서울 강남구 테헤란로 517
st_15270,이재곧죽습니다,파라다이스시티,인천 영종구 영종해안남로321번길 186
st_15271,이재곧죽습니다,인천차이나타운,인천 제물포구 차이나타운로 41
st_15272,이재곧죽습니다,인천배다리 헌책방거리,인천 제물포구 금곡로 10
st_15277,이재곧죽습니다,아일랜드캐슬 그랜드볼룸,경기 의정부시 장곡로 22
st_15280,이재곧죽습니다,시장거리길,경기 파주시 파주읍 시장거리길 54
st_15281,이재곧죽습니다,팜스프링아파트 상가,경기 파주시 송화로 11
st_15282,이재곧죽습니다,운정역,경기 파주시 운정역길 368
st_15284,이재곧죽습니다,고양종합터미널,경기 고양시 일산동구 중앙로 1036
st_15285,이재곧죽습니다,미그웨치 앞,경기 고양시 덕양구 화신로272번길 42
st_15286,이재곧죽습니다,진솔그린프라자 앞,경기 고양시 덕양구 화신로260번길 37
st_15287,이재곧죽습니다,백양빌딩,경기 고양시 덕양구 화신로260번길 31
st_15288,이재곧죽습니다,아쿠아필드 고양,경기 고양시 덕양구 고양대로 1955
st_15289,이재곧죽습니다,GS25 김포아라점,경기 김포시 고촌읍 아라육로58번길 105
st_15290,이재곧죽습니다,워커힐애스턴하우스,경기 구리시 아차산로 1
