id,title,place_name,place_address,scene_description
st_15250,이재곧죽습니다,교대이층집 상암점,서울 마포구 월드컵북로48길 19,
st_15251,이재곧죽습니다,커피빈 앞,서울 마포구 성암로 301,
st_15252,이재곧죽습니다,합정역스퀘어리버뷰어피스텔,서울 마포구 양화로 13,
st_15253,이재곧죽습니다,미원빌딩,서울 영등포구 국제금융로 70,
st_15254,이재곧죽습니다,연남장,서울 서대문구 연희로5길 22,
st_15255,이재곧죽습니다,서소문아파트,서울 서대문구 충정로6길 59,
st_15256,이재곧죽습니다,어도횟집,서울 서대문구 충정로6안길 4,
st_15257,이재곧죽습니다,약현성당,서울 중구 청파로 447-1,
st_15258,이재곧죽습니다,본동 집,서울 동작구 노량진로32길 70,
st_15259,이재곧죽습니다,북파크라운지,서울 용산구 이태원로 294,
st_15260,이재곧죽습니다,중앙고등학교,서울 종로구 창덕궁길 164,
st_15261,이재곧죽습니다,종각역4번출구,서울 종로구 종로2가 84-11,
st_15262,이재곧죽습니다,동대문종합시장,서울 종로구 종로 266,
st_15263,이재곧죽습니다,신설동종합시장 우성빌딩,서울 종로구 종로66길 50,
st_15264,이재곧죽습니다,서울시립대 경농관 앞,서울 동대문구 서울시립대로 163,
st_15265,이재곧죽습니다,녹천역,서울 도봉구 덕릉로 376,
st_15266,이재곧죽습니다,청담대교,서울 광진구 자양동 824,
st_15267,이재곧죽습니다,파르나스타워,서울 강남구 테헤란로 521,
st_15268,이재곧죽습니다,테헤란로,서울 강남구 테헤란로 517,
st_15269,이재곧죽습니다,산곡동,인천 부평구 마장로307번길 36,
st_15270,이재곧죽습니다,파라다이스시티,인천 영종구 영종해안남로321번길 186,
st_15271,이재곧죽습니다,인천차이나타운,인천 제물포구 차이나타운로 41,
st_15272,이재곧죽습니다,인천배다리 헌책방거리,인천 제물포구 금곡로 10,
st_15273,이재곧죽습니다,아로이카,인천 제물포구 신포로15번길 22-1,
st_15274,이재곧죽습니다,신명여고,인천 남동구 용천로205번길 42,
st_15275,이재곧죽습니다,현대프리미엄아울렛 송도점,인천 연수구 송도국제대로 123,
st_15276,이재곧죽습니다,의정부공업고등학교,경기 의정부시 가능로 57,
st_15277,이재곧죽습니다,아일랜드캐슬 그랜드볼룸,경기 의정부시 장곡로 22,
st_15278,이재곧죽습니다,아다마스253,경기 파주시 탄현면 헤이리마을길 47,
st_15279,이재곧죽습니다,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245,
st_15280,이재곧죽습니다,시장거리길,경기 파주시 파주읍 시장거리길 54,
st_15281,이재곧죽습니다,팜스프링아파트 상가,경기 파주시 송화로 11,
st_15282,이재곧죽습니다,운정역,경기 파주시 운정역길 368,
st_15283,이재곧죽습니다,청아공원,경기 고양시 일산동구 은마길 129,
st_15284,이재곧죽습니다,고양종합터미널,경기 고양시 일산동구 중앙로 1036,
st_15285,이재곧죽습니다,미그웨치 앞,경기 고양시 덕양구 화신로272번길 42,
st_15286,이재곧죽습니다,진솔그린프라자 앞,경기 고양시 덕양구 화신로260번길 37,
st_15287,이재곧죽습니다,백양빌딩,경기 고양시 덕양구 화신로260번길 31,
st_15288,이재곧죽습니다,아쿠아필드 고양,경기 고양시 덕양구 고양대로 1955,
st_15289,이재곧죽습니다,GS25 김포아라점,경기 김포시 고촌읍 아라육로58번길 105,
st_15290,이재곧죽습니다,워커힐애스턴하우스,경기 구리시 아차산로 1,
st_15291,이재곧죽습니다,양평추모공원 더포레,경기 양평군 청운면 벗고갯길 45-20,
st_15292,이재곧죽습니다,석현전원마을 주택,경기 용인시 기흥구 석현로 39,
st_15293,이재곧죽습니다,평택역1번출구,경기 평택시 평택로 51,
st_15294,이재곧죽습니다,더체어펜션,강원 홍천군 서면 모곡강변길 151,
st_15295,이재곧죽습니다,신남방파제,강원 삼척시 원덕읍 갈남리,
st_15296,이재곧죽습니다,제천경찰서,충북 제천시 용두대로 27,
st_15297,이재곧죽습니다,스카이다이빙센터 충주,충북 충주시 앙성면 단암길 19-1,
st_15298,이재곧죽습니다,단양클레이사격장,충북 단양군 단양읍 노동장현로 207-17,
st_15299,이재곧죽습니다,보령청보리밭,충남 보령시 천북면 천광로 73-1,
st_15300,이재곧죽습니다,마크원에비뉴,세종 국세청로 32,
st_15301,이재곧죽습니다,태조로,전북 전주시 완산구 태조로 33,
st_15302,이재곧죽습니다,태조로(2),전북 전주시 완산구 태조로 31,
st_15303,이재곧죽습니다,경기전길,전북 전주시 완산구 경기전길 89,
st_15304,이재곧죽습니다,최명희길,전북 전주시 완산구 최명희길 17-5,
st_15305,이재곧죽습니다,장흥교도소,전남광주통합특별시 장흥군 장흥읍 원도리 191,
st_15306,이재곧죽습니다,경주 오봉산 마당바위,경북 경주시 서면 천촌리 산 56,
st_15307,이재곧죽습니다,태화강국가정원,울산 중구 태화동 107,
st_15308,이재곧죽습니다,울산대교,울산 남구 매암동 139-60,
st_15309,이재곧죽습니다,이순신대로,부산 동구 초량동 1232-1,
st_15310,이재곧죽습니다,센텀서로,부산 해운대구 센텀중앙로 55,
st_15311,이재곧죽습니다,센턴시티사거리,부산 해운대구 센텀서로 20,
