url,domain,claim_count
https://blog.naver.com/hsc_one1/223591786454,blog.naver.com,1
https://blog.naver.com/hsc_one1/223599439551,blog.naver.com,1
https://blog.naver.com/hsc_one1/224130074299,blog.naver.com,2
https://blog.naver.com/hsc_one1/224275107780,blog.naver.com,8
https://blog.naver.com/location_info/224123580052,blog.naver.com,2
https://blog.naver.com/location_info/224328748452,blog.naver.com,1
https://blog.naver.com/redmee2/223259433232,blog.naver.com,1
https://blog.naver.com/redmee2/223616504330,blog.naver.com,1
https://blog.naver.com/redmee2/223634569097,blog.naver.com,4
https://blog.naver.com/redmee2/224074134977,blog.naver.com,1
https://blog.naver.com/redmee2/224134294304,blog.naver.com,1
https://blog.naver.com/redmee2/224159447692,blog.naver.com,1
https://blog.naver.com/redmee2/224169384623,blog.naver.com,1
https://blog.naver.com/redmee2/224185503052,blog.naver.com,2
https://blog.naver.com/redmee2/224331023687,blog.naver.com,1
https://blog.naver.com/ryu71s/224137515957,blog.naver.com,4
https://blog.naver.com/ryu71s/224307902954,blog.naver.com,16
https://blog.naver.com/siyin77/223616593696,blog.naver.com,1
https://blog.naver.com/tammara/222667184991,blog.naver.com,1
https://ififollowme.blogspot.com/2017/10/boramae-medical-center.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/ilsan-culture-park.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-ansan-branch-of.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-dream-forest.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-duksung-girls.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-front-gate-of.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-front-gate-of_11.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-gachon_17.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-gongji-ro.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-goyang-bus_19.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-konkuk_42.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-sangdong-lake.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-seoul.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-ttukseom-resort.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-we-are-young.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/while-you-were-sleeping-yeouido.html,ififollowme.blogspot.com,1
https://ififollowme.blogspot.com/2017/10/ytn-ytn-newsquare.html,ififollowme.blogspot.com,1
https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=4999268e-bf23-4c38-b879-9011557eb327,korean.visitkorea.or.kr,5
https://m.blog.naver.com/cjmusul/221794933829,m.blog.naver.com,1
https://m.blog.naver.com/holicmu/224032750348,m.blog.naver.com,7
https://traveltodrama.com/cashero-filming-locations-map/,traveltodrama.com,9
https://traveltodrama.com/crash-landing-on-you-filming-locations-guide/,traveltodrama.com,2
https://traveltodrama.com/twenty-five-twenty-one-filming-locations-map/,traveltodrama.com,1
