id,정정명칭,naver_place_url,lat,lng,scene_description,source_url,비고
st_04205,왕림리,,36.909354,127.093468,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/redmee2/223412691437,"농경지(배꽃밭)로 네이버 플레이스 미등록. 블로그 답사 지도핀(placeId 없음, 표기주소 아산시 둔포면 신왕리279, 좌표 36.9112/127.0933)이 입력 좌표와 근접 일치"
st_04206,장항송림자연휴양림(장항송림산림욕장),https://map.naver.com/p/entry/place/17745254,36.015445,126.666501,8화에서 큰 개가 해인에게 달려들자 은성이 돌맹이로 물리치는 장면이 촬영된 장항송림산림욕장,https://blog.naver.com/redmee2/223402753464;https://map.naver.com/p/entry/place/17745254,"네이버 플레이스 등록명은 ""장항송림자연휴양림""(카테고리 휴양림·산림욕장)으로 통칭 산림욕장과 동일 시설"
st_04210,용연길 다리,,36.777196,128.169364,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,"네이버 플레이스 미등록(단순 마을 도로/다리 지점, 대응 등록 업체 없음)"
st_04211,용연길 다리지나서,,36.777244,128.168099,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(단순 마을 도로 지점)
st_04212,용연리(1),,36.776670,128.171891,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(마을 도로/골목 지점)
st_04213,용연리삼거리,,36.776147,128.172518,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,"네이버 플레이스 미등록(도로 교차점, 등록 업체 없음)"
st_04214,용연리(2),,36.777024,128.173095,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(마을 골목 지점)
st_04215,용연리(2-2),,36.777005,128.174206,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(용연리마을회관과 약 15m 인접하나 지번이 달라(용연길 101 vs 97-6) 동일 장소로 단정하지 않음)
st_04216,용연리(3),,36.776596,128.173790,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,"네이버 플레이스 미등록(용연안길 16-2, 마을 골목/사유지로 추정)"
st_04217,용연리(4),,36.776377,128.174191,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록. 해당 주소(용연리 280)는 극중 세트 '용두리슈퍼' 터로 확인(key__pic·hs21589 등 실답사 블로그)되나 촬영 후 철거되어 현재 등록된 네이버 플레이스 없음
st_04218,용연리(5),,36.776309,128.174579,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,"네이버 플레이스 미등록. 해당 주소(용연안길 22)는 극중 '백현우의 집'으로 쓰인 실제 개인 주택(사유지·빈집, 출입금지)으로 확인되나 상호 미등록"
st_04219,용연리(6),,36.776955,128.175033,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(마을 골목 지점)
st_04220,용연리(7),,36.777090,128.175793,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(마을 골목 지점)
st_04221,용연리(8),,36.776319,128.178998,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,,네이버 플레이스 미등록(마을 골목 지점)
st_04229,문희로,,36.734423,128.108664,5~6화 등에서 부동산 가격이 급등한 용두리 마을 배경으로 언급된 문경시 문희로,,빈칸목록에 장소사진만 있어 작업 대상 아님
st_04231,봉득교,,36.669446,128.123698,10화 현우의 격투신이 촬영된 문경 마성면 신현리 다리(봉득교),,빈칸목록에 장소사진만 있어 작업 대상 아님
