id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated,famous_rank,recent_rank,audience_acc,award,director,poster_url,title_key,mention_doc_count,mention_total_count,corpus_doc_count,popularity_score,popularity_rank_in_title,is_overseas,dup_of,coord_issue,is_popular,filter_reason,scene_description_source,evidence_url
mv_2668,1987,1987: When the Day Comes,movie,김윤석;하정우;유해진;김태리;이희준,연희네 슈퍼,명소,전라남도 목포시 해안로127번길 14-2,34.78168,126.377325,https://lh3.googleusercontent.com/place-photos/AG9NLjCTC2hEI7e0seU8kFVgS73SlljanL7JEy6cUdimZsetUQIx7RGjK4b0VgbqY7ouctMMUnQGnYZwqZeLABYpxRF8MxyKyUAIOtNhk586u4NDcKm2d4gYV595ChFPUjwLJyBObFLG4I2OeOVWOhE=s4800-w800,,영화 1987에서 연희네 슈퍼로 나온 가게,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,,,7218231,청룡영화상 최우수작품상(2018),장준환,https://image.tmdb.org/t/p/w500/mO55nkEFrI2EVdjxx0asaOGtHfa.jpg,1987,22,123,30,100.0,1,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
mv_2663,1987,1987: When the Day Comes,movie,김윤석;하정우;유해진;김태리;이희준,문화공감수정,명소,부산광역시 동구 홍곡로 75,35.125713,129.042622,https://lh3.googleusercontent.com/place-photos/AG9NLjDEZrpkRiLLt9fD3q-xXUQKK0Sh-Wrge30kUNr0-tVb9-zytU-OCQ9Dl8Gyd_As6NmqBxcilIw03_0xSxLIkbCOytRBWOiZZsplcSQ-as8izGIbeqUAMHlk9V5F1lTHGGLnbm18jMVJCVV6vCQ=s4800-w800,,영화 1987에 나온 부산역 카페,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,,,7218231,청룡영화상 최우수작품상(2018),장준환,https://image.tmdb.org/t/p/w500/mO55nkEFrI2EVdjxx0asaOGtHfa.jpg,1987,0,0,30,0.0,2,N,,,Y,언급부족_데이터품질기준보존,정승길_v4,
mv_2669,1987,1987: When the Day Comes,movie,김윤석;하정우;유해진;김태리;이희준,청남대,명소,충청북도 청주시 상당구 문의면 청남대길 646,36.46255,127.4906,https://lh3.googleusercontent.com/place-photos/AG9NLjBSG2xfS5rgiJZZB0HRfHpUx-3-vQe7jyZL_5NY7Vf0BrltXD7CzjGkvWyEJFhyXhuWTi5LxEVNZKy7CKNxXpfzUZzK69L2s3ylezAX1GOndfJ7x5atYs1lTqRI9jQNqJt6L2tp6I6yg8Y7Ug=s4800-w800,https://map.naver.com/p/entry/place/17810395,1987에서 문성근과 김윤석이 만나는 곳,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,,,7218231,청룡영화상 최우수작품상(2018),장준환,https://image.tmdb.org/t/p/w500/mO55nkEFrI2EVdjxx0asaOGtHfa.jpg,1987,0,0,30,0.0,8,N,,,Y,언급부족_데이터품질기준보존,정승길_v4,
st_00101,21세기대군부인,21st Century Grand Duchess Consort,drama,아이유;변우석,아원고택,고택,전북 완주군 소양면 송광수만로 516-7,35.903569,127.244688,https://lh3.googleusercontent.com/place-photos/AG9NLjBI_JHewJNLWIiNhAEQQ61LHt9d48aGDccV_qiQc5j5aeWRCg3Q4TutX8V18mytFTTN2e9Jg77tkNgOzKx5-XfNYSE_lw_vTAx0ilE_5jK27NJ1u1osI4EX4MHleLShzeon7SnvqoohcK7M0Q=s4800-w800,https://map.naver.com/p/entry/place/35085458,극 중 이안대군이 휴가 중 비 오는 한옥에 앉아 책을 읽는 장면,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%ec%95%84%ec%9b%90%ea%b3%a0%ed%83%9d-19188/;https://blog.naver.com/buja1202/224248171214;https://blog.naver.com/coookieshop/224272446067;https://blog.naver.com/dudal2496/224351859664;https://blog.naver.com/majara78/224335814455,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,21,107,35,100.0,1,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
st_00114,21세기대군부인,21st Century Grand Duchess Consort,drama,아이유;변우석,무진정,관광지,경남 함안군 함안면 괴산4길 25,35.255420,128.422748,https://lh3.googleusercontent.com/place-photos/AG9NLjDp3o5qItsuLR3GuFR2p4NP4RoMmusEiz_MNZpJwMWtZJICV6V3fpaEJoG2w_mKim4rZDovYx8-mPxuUknRcF45WAAMUoboMqMPPiWY9aSuO4NUhqTl5SZ0e60mll3VI50PcXtV2D_CN4jQBw=s4800-w800,https://map.naver.com/p/entry/place/20108366,성희주와 이안대군이 낙화놀이를 보며 서로를 바라보는 장면,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%eb%ac%b4%ec%a7%84%ec%a0%95-19201/;https://blog.naver.com/buja1202/224248171214;https://blog.naver.com/l_j_0115/224249265908;https://blog.naver.com/wlsrud1318/224288736238,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,15,36,35,71.4,2,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
st_00102,21세기대군부인,21st Century Grand Duchess Consort,drama,아이유;변우석,소양고택,고택,전북 완주군 소양면 송광수만로 472-23,35.903680,127.243089,https://lh3.googleusercontent.com/place-photos/AG9NLjBnrzgx7vuEeGp5XIeRYCSS-pHQW-zkWVvxs9AkaZAxSl5reZXo4bsfvRfWemUxZ6H6ce4BuAqh_1jDG586lXm9aDXwehTVQ--i9Kosf48CMMUtWrW6oewH9YPwfQRhqSBjYjSOjphu1UVUug=s4800-w800,https://map.naver.com/p/entry/place/35957546,7화에서 성희주(아이유)가 신부수업을 받는 사저 별채로 등장하는 한옥,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%ec%86%8c%ec%96%91%ea%b3%a0%ed%83%9d-19189/;https://blog.naver.com/buja1202/224248171214;https://blog.naver.com/l_j_0115/224249265908,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,13,69,35,61.9,3,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
st_00100,21세기대군부인,21st Century Grand Duchess Consort,drama,아이유;변우석,백제문화단지,관광지,충남 부여군 규암면 백제문로 455,36.307572,126.908495,https://lh3.googleusercontent.com/place-photos/AG9NLjCBG8v1j7OquUlDIAsN6bYwIM8TrYsOXoZ9uH_p6R14jCGt0M9g2r8bvjiYOubd1GZM1K0RUcEqQWR7ch9TU39bBfV2B-ARiGm_RKVyLTPbZvJUZrmqa9b-Xmo48pgWMwaffSFcmFnckv6EEg=s4800-w800,https://map.naver.com/p/entry/place/12019039,궁궐 입구(사비궁)와 담장 CG 배경으로 등장하는 부여 백제문화단지,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%eb%b0%b1%ec%a0%9c%eb%ac%b8%ed%99%94%eb%8b%a8%ec%a7%80-19187/;https://blog.naver.com/buja1202/224248171214;https://blog.naver.com/l_j_0115/224249265908,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,13,31,35,61.9,4,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
st_00103,21세기대군부인,21st Century Grand Duchess Consort,drama,아이유;변우석,광한루원,관광지,전북 남원시 요천로 1447,35.404132,127.380504,https://lh3.googleusercontent.com/place-photos/AG9NLjCH2Pfu3oSd0wnvYKSS0lTbs_qGdxn7WJOn8anUVRhiDqQdyqDg-UxdSPJHJ5p4TkdrDY-9lhMcMtCfyRIT_0octQKVevClY1OzyqWrahjnYq3YTSpcflRRlsW_Ka12rD472Mgw5Dt4_aTpFA=s4800-w800,https://map.naver.com/p/entry/place/12292865,궁궐 후원 경회루·향원정 연못 장면의 배경으로 쓰인 남원 광한루원,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%ea%b4%91%ed%95%9c%eb%a3%a8%ec%9b%90-19190/;https://blog.naver.com/buja1202/224248171214,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,10,22,35,47.6,5,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
st_00050,21세기대군부인,21st Century Grand Duchess Consort,drama,아이유;변우석,경복궁,유적/한옥,서울 종로구 사직로 161,37.575904,126.976842,https://lh3.googleusercontent.com/place-photos/AG9NLjBUiIWrL3Ivwic4zEXOIs9tKbr87fqN3COsGxAPHmMETc80oLtsfTxNAuvZXco9oZcjT5WrM5mMAp_HTlAxxjBT5JhSOyoZCWHq1XlBrA3kqlQES-JmSahM3dSyszmIbDlwaOZtmJLILJ96i50=s4800-w800,https://map.naver.com/p/entry/place/11571707,궁궐 CG 배경과 후원 경회루 장면이 촬영된 조선 왕조의 법궁,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%ea%b2%bd%eb%b3%b5%ea%b6%81-19137/;https://blog.naver.com/buja1202/224248171214;https://blog.naver.com/l_j_0115/224249265908,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,10,19,35,47.6,6,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
st_00057,21세기대군부인,,drama,아이유;변우석,경희대학교,학교,서울 동대문구 경희대로 26,37.593949,127.054891,https://lh3.googleusercontent.com/place-photos/AG9NLjA-WMz1zNSBldQQAYaU5zxuLhKzWgXRCGk9aFQilpZn7RsH27yrllPu5ysElKfHLMxyMI56UgQDA5j4Gm1JEFT32Ocy0Xa21DxvAPNn6_V-CpDEj55AKBDNyWBfW_x8KgfaDsM0n82otfqvmlU=s4800-w800,https://map.naver.com/p/entry/place/12064583,성희주와 이안대군이 다니던 왕립학교(평화의 전당)로 등장하는 경희대학교,https://kdramamap.com/location/21%ec%84%b8%ea%b8%b0%eb%8c%80%ea%b5%b0%eb%b6%80%ec%9d%b8-%ea%b2%bd%ed%9d%ac%eb%8c%80%ed%95%99%ea%b5%90-19144/,2026-07-28,,14,,,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,21세기대군부인,8,15,35,38.1,7,N,,,Y,언급2회이상_작품내상위15,정승길_v4,
