id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,이케아 고양점,가구매장/창고,경기 고양시 덕양구 권율대로 420,,,,,3화에서 언니네 국수 영업 종료 뒤 카운터들의 새 아지트인 장물유통 물류센터로 나오는 장면,https://blog.naver.com/hsc_one1/223162991545;https://blog.naver.com/redmee2/223181485755;https://blog.naver.com/my1002/223210688378,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,동부빌딩,상업건물,인천 부평구 부흥로 329,,,,,7화에서 처음 이충재가 운영하는 백두기획건설 사무실의 외관과 내부로 등장하는 장면,https://blog.naver.com/hsc_one1/223162991545;https://blog.naver.com/my1002/223210688378,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,송도컨벤시아 사거리,도로/교차로,인천 연수구 센트럴로 123 일대,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,송도 트리플스트리트,복합쇼핑몰,인천 연수구 송도과학로16번길 33-1,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,벌말교,교량,인천 계양구 상야동 일대,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,와동육교,육교,경기 파주시 와동동 1471-1,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,안산소방서,공공기관,경기 안산시 단원구 화랑로 407,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,오눈오네,카페,경기 파주시 문발로 137,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,서울중앙지방법원,법원,서울 서초구 서초중앙로 157,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,오크우드 프리미어 인천,호텔,인천 연수구 컨벤시아대로 165,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,익산교도소세트장,오픈세트장,전북특별자치도 익산시 성당면 함낭로 207,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,헤이리마을 사거리,도로/교차로,경기 파주시 탄현면 헤이리마을길 일대,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,수봉남로,도로,인천 미추홀구 수봉남로 일대,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,고양 선인장전시관,전시관/공원,경기 고양시 일산동구 호수로 731,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,벚꽃마을 세종그라시아 앞 공원,공원,경기 부천시 원미구 상이로 46 일대,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,지미 스모크하우스,음식점,서울 종로구 서순라길 117,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,가톨릭대학교 의정부성모병원,병원,경기 의정부시 천보로 271,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
,경이로운소문2,The Uncanny Counter 2: Counter Punch,drama,조병규;유준상;김세정,서정대학교 서정관,대학교 건물,경기 양주시 은현면 화합로 1049-56,,,,,,https://blog.naver.com/hsc_one1/223162991545,2026-07-30
