id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,제천서울병원,병원,충북 제천시 서부동 177,37.138750,128.206034,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,놀뫼시민장례식장,장례식장,충남 논산시 내동 497,36.178905,127.096871,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,황간초등학교,학교,충북 영동군 황간면 남성리 164-1,36.226930,127.912787,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,삼방산 얼음골,자연경관,강원특별자치도 영월군 북면 공기리 산102,37.317295,128.435855,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,삽교호 놀이동산,놀이공원,충남 당진시 신평면 운정리 208-1,36.890103,126.822390,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,제원예술대학교,대학교(구),경북 영천시 망정동 산14,35.990748,128.948861,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,새뜰마을,마을,충남 서산시 고북면 사기리 838,36.643148,126.472942,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,양평버스터미널,터미널,경기 양평군 양평읍 공흥리 484-2,37.491278,127.501721,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,포천아트밸리,관광명소,경기 포천시 신북면 기지리 282,37.923595,127.236697,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,창경궁로5길 일대,골목/거리,서울 중구 산림동 20,37.567243,126.997327,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,일품양고치,음식점,경기 군포시 당동 750-28,37.353602,126.947000,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,로케이션 어스,야외 촬영단지,경기 파주시 탄현면 축현리 283-41,37.803254,126.730281,,,,https://haechi-travel.tistory.com/812,2026-07-30
,킬러들의 쇼핑몰,A Shop for Killers,drama,김혜준;이동욱;오만석,흥호리 세트장,오픈세트장,강원특별자치도 원주시 부론면 흥호리 664,37.249050,127.753757,,,,https://haechi-travel.tistory.com/812,2026-07-30
