id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",다운데어,카페,"경기 파주시 탄현면 헤이리마을길 55-34",37.788682,126.696175,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",천개의향나무숲,정원,"전남 구례군 광의면 천변길 12",35.226611,127.460294,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",한양대학교 ERICA캠퍼스,대학교,"경기 안산시 상록구 한양대학로 55",37.297441,126.835597,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",드메인,카페,"경기 고양시 덕양구 충장로282번길 40",37.638807,126.839257,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",슈치쿠,일식당,"서울 영등포구 63로 50 한화생명빌딩 58층",37.520165,126.940297,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",힌터하우스,카페,"경기 안양시 만안구 예술공원로 237",37.418870,126.931614,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",장안대학교 생활과학관,대학교,"경기 화성시 봉담읍 삼천병마로 1182",37.212237,126.946617,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",아쿠아플라넷 일산,수족관,"경기 고양시 일산서구 한류월드로 282",37.663519,126.755455,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",일산호수공원,공원,"경기 고양시 일산동구 호수로 595",37.656744,126.766251,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",타임스퀘어,쇼핑몰,"서울 영등포구 영중로 15",37.517075,126.903341,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",관악성당,성당,"경기 안양시 만안구 경수대로1140번길 24",37.414526,126.920278,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",광한루원,정원,"전북특별자치도 남원시 요천로 1447",35.403288,127.379436,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",두가헌,레스토랑,"서울 종로구 삼청로 14",37.577053,126.980326,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
,"아이돌아이","I DOL I",drama,"최수영;김재영;정재광",반포한강공원,한강공원,"서울 서초구 신반포로11길 40",37.510623,126.995963,,,,"https://kdramalocations.com/dramas/i-dol-i;https://haechi-travel.tistory.com/445",2026-07-30
