id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,그랜드 워커힐 서울,호텔,서울 광진구 워커힐로 177,37.55522778434594,127.11089257243468,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,콘래드 서울,호텔,서울 영등포구 국제금융로 10,37.52541872450673,126.92674398135534,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,경희대학교 서울캠퍼스,대학교,서울 동대문구 경희대로 26,37.5971656623384,127.05173889409078,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,피커스 종로점,클라이밍짐,서울 종로구 돈화문로5가길 1,37.57091093329,126.991397046749,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,숙명여자대학교 명신관,대학부속시설,서울 용산구 청파로47길 100,37.5458975469105,126.963562828318,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,아스톤하우스,예식장,경기 구리시 아천동,37.5681673219842,127.114324507713,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,롯데백화점 일산점,백화점,경기 고양시 일산동구 중앙로 1283,37.66047104881414,126.77213362798275,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,W스퀘어컨벤션,컨벤션/예식장,경기 성남시 분당구 판교역로226번길 16,37.40056452397243,127.11147743565441,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,스카이247,라운지,경기 하남시 망월동,37.5680994614325,127.189475097868,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,롯데백화점 중동점,백화점,경기 부천시 원미구 길주로 300,37.50256910703231,126.77520420831686,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,오크밸리리조트 피클볼파크,스포츠시설,강원특별자치도 원주시 지정면 월송리 1061-16,37.43394946932,127.820008613122,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,용인대장금테마파크,사극오픈세트장,경기 용인시 처인구 백암면 용천드라마길 25,37.1211916935391,127.337579430944,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,월미공원,공원,인천 제물포구 북성동1가 산 125,37.4734712371964,126.603540269676,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,인하대학교 정석학술정보관,대학도서관,인천 미추홀구 인하로 100,37.44939181956702,126.65248437808384,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,인천국제공항 제1여객터미널,공항,인천 영종구 공항로 272,37.44917416578355,126.45092032325644,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,클럽디 더플레이어스,골프장,강원특별자치도 춘천시 동산면 새술막길 438,37.777435373010945,127.75070136198872,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,롯데호텔 제주,호텔,제주특별자치도 서귀포시 중문관광로72번길 35,33.24859943127331,126.41032986158476,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,제주신라호텔,호텔,제주특별자치도 서귀포시 중문관광로72번길 75,33.24743087763671,126.40804141124566,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,신창풍차해안도로,관광명소(드라이브코스),제주특별자치도 제주시 한경면 신창리 1322-1,33.343081026740045,126.17420604655737,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,애월해안도로,관광명소(드라이브코스),제주특별자치도 제주시 애월읍 신엄리 2719-3,33.4781232943703,126.36867872098,,,,https://haechi-travel.tistory.com/789,2026-07-30
,오싹한 연애,Spooky in Love,drama,박은빈;양세종,농암종택,고택,경북 안동시 도산면 가송길 162-133,36.7640813102203,128.884746420384,,,,https://haechi-travel.tistory.com/789,2026-07-30
