id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,태풍상사,Typhoon Company,drama,이준호;김민하,미림분식,분식집,서울 영등포구 여의대방로65길 6,37.5191897704113,126.930532981926,,,6화에서 정차란과 오미선이 술을 마시는 분식집 장면,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,종로22길(한성전자 일대),거리/골목,서울 종로구 종로22길 12,37.5697712921639,126.993206939944,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,정릉동 주택가,주택가,서울 성북구 정릉동,37.618580825547,126.995482832879,,,오미선의 집으로 등장하는 정릉동 언덕 주택가 장면,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,디와이(DY),회사(사옥 외관),인천 남동구 남동서로362번길 36,37.4183385878982,126.703872907891,,,표박호무역상사 PYO 사옥 외관으로 등장하는 장면,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,브라운핸즈 개항로,카페,인천 중구 개항로 73-1,37.4719594152797,126.630785274485,,,태풍상사 사옥으로 등장하는 레트로 감성 카페 장면,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,연희숲속쉼터,공원(숲),서울 서대문구 연희로 353,37.5893782439197,126.935518414726,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,새문순대국,음식점,서울 마포구 대흥로 163-1,37.5536581158558,126.945732297306,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,정우빌딩,건물,서울 영등포구 은행로 29,37.5290821496185,126.921888669221,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,여의도따로국밥,음식점,서울 영등포구 여의나루로 53-1,37.5227019151559,126.924993896764,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,마포최대포숯불갈매기,음식점,서울 동작구 서달로14길 19,37.5079613075381,126.964144069288,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,양평감자탕,음식점,서울 동작구 서달로14길 11,37.5080698774528,126.963844636924,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,공간두두,카페/공간대여,서울 용산구 보광로 127,37.5340837736296,126.993719313035,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,청계상가,상가,서울 중구 산림동 264-5,37.5676278496418,126.995673244019,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,경일의료기,상가(의료기),서울 종로구 종로 138,37.570204289806,126.992855314825,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,태광상사,상가,서울 종로구 숭인동 206-4,37.5725891490658,127.021252827616,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,고려대학교,대학교,서울 성북구 안암로 145,37.5887034223667,127.031698331241,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,서울고속버스터미널,버스터미널,서울 서초구 신반포로 194,37.5064357442307,127.006834366246,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,금강아케이드,상가,서울 강남구 압구정로29길 57,37.5312337952168,127.026936731619,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,인천강화경찰서,경찰서,인천 강화군 강화읍 동문안길 17,37.747710026621,126.486326708757,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,인천역,기차역,인천 중구 제물량로 269,37.4765945654751,126.617089757279,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,경동 골목,골목,인천 중구 경동 208-12,37.4721596418204,126.630965730109,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,포천우체국,우체국,경기 포천시 중앙로 159,37.9000003018431,127.20539104806,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,일산호수공원,공원,경기 고양시 일산동구 호수로 595,37.6536388536528,126.768814115073,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
,태풍상사,Typhoon Company,drama,이준호;김민하,롯데백화점 일산점,백화점,경기 고양시 일산동구 중앙로 1283,37.6604717553584,126.77212625922,,,,https://traveltodrama.com/typhoon-company-filming-locations-seoul/,2026-07-30
