id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,scene_image_url,source_url,last_updated,famous_rank,recent_rank,audience_acc,award,director,poster_url
st_04123,눈물의 여왕,Queen of Tears,drama,김수현;김지원,옹달샘 합정감자탕,,서울 마포구 독막로2길 9,37.548169,126.914809,https://lh3.googleusercontent.com/place-photos/AG9NLjC6GoLB-BSWlhTTADOxcQcurFckzzHUQTf68aZdzrsNoDvbtDjcfmAvmgVEwSwmKQGFxkp5QpEjeE20xTl_sL4fm0LE0nLnlvk8YDuxk6-ipXi0DJJXAf6W9iBX9hIkKtgGM1Sv6lsZN-tFKw=s4800-w800,https://map.naver.com/p/entry/place/37648635,3화에서 백현우가 친구 양기와 함께 감자탕집에서 식사하는 장면,https://image.tmdb.org/t/p/w780/5koZLly7ZdR5r0OWMhHUGfNhofR.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%98%b9%eb%8b%ac%ec%83%98-%ed%95%a9%ec%a0%95%ea%b0%90%ec%9e%90%ed%83%95-7247/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04124,눈물의 여왕,Queen of Tears,drama,김수현;김지원,양화대교,다리,서울 마포구 합정동 351-4,37.543565,126.903803,https://lh3.googleusercontent.com/place-photos/AG9NLjCthSmpPWXI0TIKbv9q0scPGeTryDyy60FOUw2eFrUV2lOmLBAI76FiIlkSrF8AcX0SOIC48YE8HS5HNEbmOSSppWtyvbMJEsKH-QDHFWSCOkaoMmN2a3HgFdJ-XPrFlEq02ozV0XJgAiK5iS4=s4800-w800,https://map.naver.com/p/entry/place/18790569,,https://image.tmdb.org/t/p/w780/wcP3FsRLog4GNEs9PFrDKKQdcof.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%96%91%ed%99%94%eb%8c%80%ea%b5%90-7248/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04125,눈물의 여왕,Queen of Tears,drama,김수현;김지원,서강대교,다리,서울 영등포구 여의도동 83-2,37.538561,126.925698,https://lh3.googleusercontent.com/place-photos/AG9NLjBW7e2nL7q0AWZAzrRj369HKqacbnp6q2ybze8s2c2GUwdaonLSl-_hQHqSmoieAxLbZwGKf0i0JwQgmWLT9AYFJ5OYLk_t3UyYIoeo3Om6bwHLkIMgonerx-UBdeDuP5Ov206fBmod1Aw54Q=s4800-w800,https://map.naver.com/p/entry/place/18999808,15~16화에서 현우와 해인이 예전 데이트 장소로 다시 등장하는 곳,https://image.tmdb.org/t/p/w780/afvcLgsuydMFMPmEWo5x6ueta4K.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%84%9c%ea%b0%95%eb%8c%80%ea%b5%90-7249/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04126,눈물의 여왕,Queen of Tears,drama,김수현;김지원,마포대교아래,,서울 영등포구 여의도동 84,37.530000,126.929941,https://lh3.googleusercontent.com/place-photos/AG9NLjBcQqDpA7f7bUOC1t2RDPH51N4IzKERAy6mMKYcQ-CME2h3nMFGFp2o-dIhhB86_4tU7fgzrzxwG8uFd6nygVgr98KrPseULfC92bVX1vHeKiPqraDcf98xabPqf3Kt1hyRlRJTlAUWAtS28ww=s4800-w800,https://map.naver.com/p/entry/place/18999832,,https://image.tmdb.org/t/p/w780/cIGwlcstPVnyhY0Oqrvly6yrYz7.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%eb%a7%88%ed%8f%ac%eb%8c%80%ea%b5%90%ec%95%84%eb%9e%98-7250/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04127,눈물의 여왕,Queen of Tears,drama,김수현;김지원,여의도공원,공원,서울 영등포구 여의도동 2,37.525536,126.921593,https://lh3.googleusercontent.com/place-photos/AG9NLjDao3kAmy6799PxID1TE-sPeoQl70fnwlNi3U4bgbSOFouUgIRnpGw3uegHT2VwZPYnf-F4ec8LjOEjqB9Bednvy-Y1BKdgetLhf_IVAyqKJpBozFxGrxrv30mULR0VOI9Pqc6CaATGREQpDg=s4800-w800,https://map.naver.com/p/entry/place/11622428,백현우가 친구들과 담소를 나누고 해인과 자신에 대한 악플에 화내던 장면,https://i.ytimg.com/vi/2y7XZ3wwCM8/hqdefault.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%97%ac%ec%9d%98%eb%8f%84%ea%b3%b5%ec%9b%90-7251/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04128,눈물의 여왕,Queen of Tears,drama,김수현;김지원,콘래드서울,,서울 영등포구 국제금융로 10,37.525178,126.924877,https://lh3.googleusercontent.com/place-photos/AG9NLjBIDJ-SCwy7zOrjlKPECWRNSH-t1h6aLEZAzoD4M6mVsrBQvoPka8KT45pSl_V4Gn1Gvz1SWfhpiLzjyDvG5p4LaYkaJBaVISw5K6G7YjjT2gjGXTIA2cHZ9t19Pe20RF3UflKa19dnrakIfdrgUggAsQ=s4800-w800,https://map.naver.com/p/entry/place/21202909,4화부터 은성 무리가 호텔 스위트룸에 모여 퀸즈그룹을 차지하려 작당모의하는 장면,https://image.tmdb.org/t/p/w780/uW8YEFlgsZKCiqjKlmPt1LYuxm0.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%bd%98%eb%9e%98%eb%93%9c%ec%84%9c%ec%9a%b8-7252/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04129,눈물의 여왕,Queen of Tears,drama,김수현;김지원,여의도IFC,,서울 영등포구 국제금융로 10,37.525178,126.924877,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Rolls-Royce_Phantom_VIII_EWB_Series_II_Dark_Emerald_%2817%29.jpg/960px-Rolls-Royce_Phantom_VIII_EWB_Series_II_Dark_Emerald_%2817%29.jpg,https://map.naver.com/p/entry/place/1591620827,16화에서 경영권을 되찾아 퀸즈그룹으로 돌아오는 장면,https://i.ytimg.com/vi/2_Gq82Q2j2k/hqdefault.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%97%ac%ec%9d%98%eb%8f%84ifc-7253/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04130,눈물의 여왕,Queen of Tears,drama,김수현;김지원,여의도환승센터(3번승강장),,서울 영등포구 여의대로 122-2,37.5259892,126.9240591,https://lh3.googleusercontent.com/place-photos/AG9NLjADE_PJxxX0WBeMuTPhoXVe2WsRCea6nLKk5f8vzas1AAxoSPc_ytDFVWs1zA6EPrAPwPY5GjsDgUNhJUuTdS8BSl6m3NwNCGDDxpjB7wqDF3MfRUsjt42SVvHD05sgCJhX-V7l9cZq24UZ=s4800-w800,https://map.naver.com/p/entry/place/34975485,,https://image.tmdb.org/t/p/w780/xustAzXuxUb8OzbjYPPb7WzH63o.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%ec%97%ac%ec%9d%98%eb%8f%84%ed%99%98%ec%8a%b9%ec%84%bc%ed%84%b0-3%eb%b2%88%ec%8a%b9%ea%b0%95%ec%9e%a5-7254/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04131,눈물의 여왕,Queen of Tears,drama,김수현;김지원,더현대서울 정류장,,서울 영등포구 여의대로 108,37.525191,126.929113,https://lh3.googleusercontent.com/place-photos/AG9NLjCAi2ymNY5TNl8tCQ3Xvx9ZsO9Vkij75CsKUuV9LY61pVBs6WFm0RI6JSQybTEXLl2BMLZoXop1h79_hH58Y3R-GDsjTcJDWmjXoiyt-bO46MBkjc9Rc4RWhoq_nq897xwCMAwzvjZlpk3XRE4=s4800-w800,,15~16화에서 퀸즈백화점(더현대서울) 앞 파크원빌딩 횡단보도로 등장,https://image.tmdb.org/t/p/w780/dhxkeZOsXDcqWMtUgCqHiQs2IE1.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%eb%8d%94%ed%98%84%eb%8c%80%ec%84%9c%ec%9a%b8-%ec%a0%95%eb%a5%98%ec%9e%a5-7255/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
st_04132,눈물의 여왕,Queen of Tears,drama,김수현;김지원,더현대서울 YPHAUS라운지,,서울 영등포구 여의대로 108,37.525191,126.929113,https://lh3.googleusercontent.com/place-photos/AG9NLjCFEvWADd0lWvSZ0iArrSPylBsELwncwQsAEj9rj_wTGjD607RYgqrtN8rmxIkZNQGQS_XsONOVZNv1IaL-ABUzVb8AD4EWzx14qcNa-6fAjG_btV744XCah-H1bj4nstfCUgSMfMdssjgO=s4800-w800,,10화에서 해인이 퀸즈그룹 회장 취임 기자회견 전 이곳에서 단장하는 장면,https://image.tmdb.org/t/p/w780/dufbOsvYwL6gxPXPw914Y6Wpb7E.jpg,https://kdramamap.com/location/%eb%88%88%eb%ac%bc%ec%9d%98%ec%97%ac%ec%99%95-%eb%8d%94%ed%98%84%eb%8c%80%ec%84%9c%ec%9a%b8-yphaus%eb%9d%bc%ec%9a%b4%ec%a7%80-7256/,2026-07-28,13,,,,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg
