id,title,place_name,place_address,place_latitude,place_longitude
st_00021,21세기대군부인,마곡중앙로(1),서울 강서구 마곡중앙10로 10,37.563497,126.830233
st_00022,21세기대군부인,마곡중앙로(2),서울 강서구 마곡동 721-7,37.558059,126.826650
st_00023,21세기대군부인,마곡중앙로(3),서울 강서구 마곡중앙로 168,37.568432,126.828720
st_00024,21세기대군부인,월드컵북로(5단지앞),서울 마포구 상암동 1715,37.579999,126.887548
st_00025,21세기대군부인,MBC,서울 마포구 성암로 267,37.581123,126.890989
st_00026,21세기대군부인,누리꿈스퀘어,서울 마포구 월드컵북로 396,37.579428,126.889783
st_00027,21세기대군부인,당산철교,서울 영등포구 여의도동 80-3,37.539915,126.907842
st_00028,21세기대군부인,서강대교,서울 영등포구 여의도동 83-1,37.535855,126.924794
st_00029,21세기대군부인,마포대교,서울 영등포구 여의도동 85-2,37.532429,126.935734
st_00030,21세기대군부인,여의대로,서울 영등포구 여의도동 2-11,37.525698,126.924241
st_00031,21세기대군부인,IFC,서울 영등포구 국제금융로 10,37.525178,126.924877
st_00032,21세기대군부인,스위치22 여의도점,서울 영등포구 여의대로 108,37.525191,126.929113
st_00033,21세기대군부인,국제금융로,서울 영등포구 여의도동 2-2,37.525493,126.927362
st_00034,21세기대군부인,고척스카이돔,서울 구로구 경인로 430,37.498213,126.867089
st_00035,21세기대군부인,고려대학교 구로병원,서울 구로구 구로동로 148,37.491150,126.884511
st_00036,21세기대군부인,올림픽대로,서울 영등포구 여의도동 87-5,37.517397,126.945660
st_00037,21세기대군부인,노량대교,서울 동작구 본동 477,37.515777,126.953220
st_00038,21세기대군부인,노들로,서울 동작구 노량진동 320-1,37.515580,126.936599
st_00039,21세기대군부인,강변북로,서울 용산구 이촌동 375,37.521994,126.960328
st_00040,21세기대군부인,동작대교,서울 용산구 이촌동 385,37.509920,126.981704
st_00041,21세기대군부인,녹트,서울 용산구 올림픽대로 2085-96,37.508032,126.984552
st_00042,21세기대군부인,국립서울현충원,서울 동작구 동작동 212-6,37.502144,126.974274
st_00043,21세기대군부인,국립중앙박물관,서울 용산구 서빙고로 137,37.524702,126.977740
st_00044,21세기대군부인,르가드더메인한남,서울 용산구 한남대로10길 16,37.531551,127.009903
st_00045,21세기대군부인,그랜드하얏트 서울,서울 용산구 소월로 322,37.539763,126.996241
st_00046,21세기대군부인,나라약국,서울 용산구 청파로47길 7,37.544706,126.970224
st_00047,21세기대군부인,청춘식당(폐업),서울 용산구 청파로 289,37.545381,126.970195
st_00048,21세기대군부인,신세계백화점 본점,서울 중구 소공로 63,37.560919,126.980979
st_00049,21세기대군부인,대한민국역사박물관,서울 종로구 세종대로 198,37.573714,126.978339
st_00050,21세기대군부인,경복궁,서울 종로구 사직로 161,37.575904,126.976842
st_00051,21세기대군부인,"경복궁,국립민속박물관 정류장(01540)",서울 종로구 세종로 1-61,37.580109,126.979842
st_00052,21세기대군부인,삼청로,서울 종로구 세종로 3,37.577935,126.979542
st_00053,21세기대군부인,서울경찰청,서울 종로구 사직로8길 31,37.574946,126.971980
st_00054,21세기대군부인,서순라길,서울 종로구 서순라길 51,37.572815,126.993120
st_00055,21세기대군부인,종묘,서울 종로구 종로 157,37.573134,126.994864
st_00056,21세기대군부인,써브웨이 종암점,서울 성북구 종암로 110,37.600095,127.034338
st_00057,21세기대군부인,경희대학교,서울 동대문구 경희대로 26,37.593949,127.054891
st_00058,21세기대군부인,성신여자대학교 운정그린캠퍼스,서울 강북구 도봉로76가길 55,37.632038,127.027124
st_00059,21세기대군부인,응봉산,서울 성동구 금호동4가 1540,37.547091,127.029190
st_00060,21세기대군부인,청담대교,서울 광진구 자양동 824,37.526286,127.064885
st_00061,21세기대군부인,캐틀앤비(폐업),서울 서초구 양재천로 131,37.478802,127.041977
st_00062,21세기대군부인,시티악기,서울 서초구 남부순환로323길 25,37.482212,127.013503
st_00063,21세기대군부인,잠수교,서울 서초구 반포동 649,37.512545,126.996906
st_00064,21세기대군부인,서초대로,서울 서초구 서초대로 347,37.495671,127.019253
st_00065,21세기대군부인,럭셔리판다,서울 강남구 논현로152길 33,37.521720,127.030809
st_00066,21세기대군부인,0914 도산공원 플래그십 스토어,서울 강남구 도산대로45길 15,37.523231,127.035117
st_00067,21세기대군부인,CGV청담씨네시티,서울 강남구 도산대로 323,37.522897,127.037016
st_00068,21세기대군부인,테헤란로,서울 강남구 테헤란로 201,37.501311,127.037178
st_00069,21세기대군부인,조선팰리스 강남,서울 강남구 테헤란로 231,37.502881,127.041357
st_00070,21세기대군부인,제이에스티나빌딩,서울 송파구 양재대로62길 53,37.495607,127.121295
st_00071,21세기대군부인,웰킵스타워,서울 강동구 고덕비즈밸리로 54,37.567539,127.158593
st_00072,21세기대군부인,온수리성공회,인천 강화군 길상면 온수길38번길 14,37.640518,126.489703
st_00073,21세기대군부인,파라다이스시티호텔,인천 영종구 영종해안남로321번길 186,37.437412,126.455555
st_00074,21세기대군부인,인천문학경기장,인천 미추홀구 매소홀로 618,37.435082,126.690760
st_00075,21세기대군부인,써브웨이 인천송도8공구점,인천 연수구 랜드마크로 20,37.416075,126.624537
st_00076,21세기대군부인,경원재 바이 워커힐,인천 연수구 테크노파크로 200,37.392287,126.637858
st_00077,21세기대군부인,오크우드프리미어 인천 파노라믹65,인천 연수구 컨벤시아대로 165,37.389141,126.644443
st_00078,21세기대군부인,라운지25,인천 연수구 센트럴로 232,37.397422,126.636641
st_00079,21세기대군부인,양주한국병원,경기 양주시 화합로 1489,37.838900,127.072898
st_00080,21세기대군부인,모터리,경기 양주시 고암길 154-54,37.832312,127.074778
st_00081,21세기대군부인,조이마당스튜디오,경기 파주시 파주읍 봉서산로 245,37.833300,126.803485
st_00082,21세기대군부인,로케이션 이음,경기 파주시 탄현면 새오리로286번길 48-70,37.804057,126.693139
st_00083,21세기대군부인,얼반웍스 스튜디오,경기 고양시 덕양구 호원길 3-2,37.585967,126.875599
st_00084,21세기대군부인,오르다온,경기 양평군 서종면 송골길 233,37.561228,127.411124
st_00085,21세기대군부인,하남돼지집 본점,경기 하남시 미사강변중앙로 43,37.550956,127.192867
st_00086,21세기대군부인,화서문,경기 수원시 팔달구 장안동 331,37.286608,127.013903
st_00087,21세기대군부인,보바스기념병원,경기 성남시 분당구 대왕판교로 155-8,37.357434,127.100004
st_00088,21세기대군부인,경희대학교 국제캠퍼스,경기 용인시 기흥구 덕영대로 1732,37.239800,127.081199
st_00089,21세기대군부인,용인대장금파크,경기 용인시 처인구 백암면 용천드라마길 25,37.119444,127.337089
st_00090,21세기대군부인,광주경찰서,경기 광주시 포돌이로 135,37.408779,127.239425
st_00091,21세기대군부인,선향재 한옥 스튜디오,경기 광주시 새말길329번길 17,37.382781,127.176182
st_00092,21세기대군부인,당남리섬,경기 여주시 대신면 천서리 545-5,37.395258,127.542649
st_00093,21세기대군부인,마임비전빌리지,경기 여주시 세종대왕면 용은길 28,37.290669,127.540148
st_00094,21세기대군부인,세트장(치악산드림랜드부지),강원 원주시 소초면 학곡리 223-3,37.431877,128.062776
st_00095,21세기대군부인,뮤지엄산,강원 원주시 지정면 오크밸리2길 260,37.415333,127.823409
st_00096,21세기대군부인,더한옥헤리티지,강원 영월군 남면 문개실길 37-150,37.200539,128.429215
st_00097,21세기대군부인,우암산로,충북 청주시 상당구 수동 81-394,36.646072,127.495808
st_00098,21세기대군부인,수암골전망대,충북 청주시 상당구 수동 81-245,36.645746,127.495439
st_00099,21세기대군부인,청남대,충북 청주시 상당구 문의면 청남대길 646,36.462249,127.490095
st_00100,21세기대군부인,백제문화단지,충남 부여군 규암면 백제문로 455,36.307572,126.908495
st_00101,21세기대군부인,아원고택,전북 완주군 소양면 송광수만로 516-7,35.903569,127.244688
st_00102,21세기대군부인,소양고택,전북 완주군 소양면 송광수만로 472-23,35.903680,127.243089
st_00103,21세기대군부인,광한루원,전북 남원시 요천로 1447,35.404132,127.380504
st_00104,21세기대군부인,경상북도청,경북 안동시 풍천면 도청대로 455,36.576121,128.505723
st_00105,21세기대군부인,마성오픈세트장,경북 문경시 마성면 가은로 311-18,36.650819,128.079457
st_00106,21세기대군부인,예천진호국제양궁장,경북 예천군 예천읍 양궁장길 38,36.634632,128.468367
st_00107,21세기대군부인,오릉,경북 경주시 탑동 392-2,35.820904,129.209200
st_00108,21세기대군부인,이순신대로(1),부산 중구 중앙동4가 113,35.108100,129.043770
st_00109,21세기대군부인,이순신대로(2),부산 중구 중앙동4가 104,35.105630,129.041126
st_00110,21세기대군부인,센텀서로(1),부산 해운대구 센텀7로 12,35.174001,129.125535
st_00111,21세기대군부인,센텀서로(2),부산 해운대구 수영강변대로 140,35.172729,129.125609
st_00112,21세기대군부인,케이엔엔타워,부산 해운대구 센텀서로 30,35.172059,129.128433
st_00113,21세기대군부인,부산요트투어,부산 해운대구 해운대해변로 52,35.162498,129.138079
st_00114,21세기대군부인,무진정,경남 함안군 함안면 괴산4길 25,35.255420,128.422748
st_00471,S라인,파랑새어린이집,서울 서대문구 통일로39다길 8,37.587157,126.942653
st_00472,S라인,청자모텔,서울 서대문구 통일로37나길 21,37.586903,126.943327
st_00473,S라인,"연세로,문화의거리 정류장(13324)",서울 서대문구 연세로 6-1,37.556135,126.937056
st_00474,S라인,동해해물탕 골목,서울 서대문구 연세로 9-5,37.556339,126.936448
st_00475,S라인,연세로5가길,서울 서대문구 연세로5가길 8-6,37.557505,126.936438
st_00476,S라인,연세로7안길,서울 서대문구 연세로7안길 6,37.557977,126.936401
st_00477,S라인,연세로4길,서울 서대문구 연세로4길 6,37.556920,126.937355
