id,place_name,image_url,commons_page,license,author,distance_m
st_00032,스위치22 여의도점,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg/960px-20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,https://commons.wikimedia.org/wiki/File%3A20231007%20%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,CC0,Striker9498,45.3
st_04135,스위치22 여의도점,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg/960px-20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,https://commons.wikimedia.org/wiki/File%3A20231007%20%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,CC0,Striker9498,45.3
st_06380,스위치22 여의도점,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg/960px-20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,https://commons.wikimedia.org/wiki/File%3A20231007%20%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,CC0,Striker9498,45.3
st_17454,스위치22 여의도점,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg/960px-20231007_%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,https://commons.wikimedia.org/wiki/File%3A20231007%20%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C.jpg,CC0,Striker9498,45.3
st_00045,그랜드하얏트 서울,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/View_from_N_Seoul_Tower_a3.jpg/960px-View_from_N_Seoul_Tower_a3.jpg,https://commons.wikimedia.org/wiki/File%3AView%20from%20N%20Seoul%20Tower%20a3.jpg,CC BY-SA 4.0,CYAN,65.9
st_02608,그랜드하얏트 서울,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/View_from_N_Seoul_Tower_a3.jpg/960px-View_from_N_Seoul_Tower_a3.jpg,https://commons.wikimedia.org/wiki/File%3AView%20from%20N%20Seoul%20Tower%20a3.jpg,CC BY-SA 4.0,CYAN,65.9
st_06012,그랜드하얏트 서울,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/View_from_N_Seoul_Tower_a3.jpg/960px-View_from_N_Seoul_Tower_a3.jpg,https://commons.wikimedia.org/wiki/File%3AView%20from%20N%20Seoul%20Tower%20a3.jpg,CC BY-SA 4.0,CYAN,65.9
st_00072,온수리성공회,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/%EA%B0%95%ED%99%94_%EC%98%A8%EC%88%98%EB%A6%AC_%EC%84%B1%EA%B3%B5%ED%9A%8C%EC%84%B1%EB%8B%B9.jpg/960px-%EA%B0%95%ED%99%94_%EC%98%A8%EC%88%98%EB%A6%AC_%EC%84%B1%EA%B3%B5%ED%9A%8C%EC%84%B1%EB%8B%B9.jpg,https://commons.wikimedia.org/wiki/File%3A%EA%B0%95%ED%99%94%20%EC%98%A8%EC%88%98%EB%A6%AC%20%EC%84%B1%EA%B3%B5%ED%9A%8C%EC%84%B1%EB%8B%B9.jpg,CC BY-SA 4.0,Cuhullin,43.7
st_00083,얼반웍스 스튜디오,,,,,
st_03721,얼반웍스 스튜디오,,,,,
st_16969,얼반웍스 스튜디오,,,,,
st_17522,얼반웍스 스튜디오,,,,,
st_00105,마성오픈세트장,,,,,
st_00112,케이엔엔타워,,,,,
st_00475,연세로5가길,,,ERR:HTTPError,,
