id,place_name,scene_description,desc_source_url
st_12164,스와로브스키,8화에서 이수호(차은우)가 고백을 준비하며 스와로브스키 매장으로 달려가는 장면,https://blog.naver.com/eyenu/222200500439
st_12165,에이바우트커피 역삼,,
st_12166,로얄라운지,,
st_12167,시몬스갤러리,,
st_12168,파티오나인,,
st_12169,우리은행버정,7화에서 이수호와 임주경이 함께 버스를 기다리던 정류장으로 등장한 장면,https://blog.naver.com/topstarnews/223723514658
st_12171,어바웃복싱,,
st_12172,글렌페딕,,
st_12173,압구정곱떡,,
st_12174,에이바우트커피 강남대치점,,
st_12177,동아디지털미디어센터옆,,
st_12178,월드컵파크3단지,,
st_12179,서부면허시험장,,
st_12180,파쿠모리앞,,
st_12181,은행골앞,,
st_12182,땡초,,
st_12187,춘지본가,,
st_12188,핑크버스,,
st_12189,착한구두,,
st_12190,마리네일홍대점,,
st_12191,츄,,
st_12192,미래하이빌,,
st_12196,네이처리퍼블릭,,
st_12197,미니스톱,,
st_12199,노들섬,,
st_12200,숙대옆길,,
st_12201,효창공원,,
st_12202,중앙중버정,,
st_12209,위드메이트,,
st_12210,커피한약방 혜화점,4화·7화에서 이수호(차은우)와 임주경(문가영) 등 새봄고 학생들이 함께 스터디하는 카페로 등장,https://blog.naver.com/alchemist_s/222198925364
st_12211,감사원버정,,
st_12213,회화당,,
st_12216,청계천옆,,
st_12217,경복궁.국립민속박물관맞은편,,
st_12224,GS25 종로안국점,,
st_12226,효성빌라,,
st_12227,윤동주시인문학관앞,,
st_12228,청운공원,,
st_12229,세븐일레븐,,
st_12235,명동에그드랍,,
st_20734,감고당길,북촌 감고당길은 여주인공 임주경(문가영)의 집이 있는 곳으로 등장한 촬영지,https://blog.naver.com/hs21589/222964026364
st_17542,서대문복싱클럽,,
st_17543,세븐일레븐 신촌원룸점,방은미(김향기)가 아르바이트하는 편의점으로 등장한 촬영지,https://blog.naver.com/hs21589/224143990986
st_17545,세븐일레븐 여의도공원3호점,,
st_17546,신송센타빌딩,,
st_17547,덕원,,
st_17549,노량진로26길,,
st_17551,노량대교 아래,,
st_17552,동작대교,,
st_17553,새창로49길,,
st_17554,녹사평역,,
st_17556,덕산주차장 골목,,
st_17557,건국빌딩,,
st_17558,동대문역,,
st_17559,창신소통공작소,,
st_17560,한신한진아파트209동,,
st_17561,월곡역교차로 육교,,
st_17564,보광사,,
st_17566,백사마을(2),히어로 강상웅(이준호)이 악당들과 맞붙는 서울의 마지막 달동네 백사마을 골목,https://blog.naver.com/lovefox0930/224140103623
st_17567,백사마을(3),히어로 강상웅(이준호)이 악당들과 맞붙는 서울의 마지막 달동네 백사마을 골목,https://blog.naver.com/lovefox0930/224140103623
st_17569,생각공장데시앙플렉스,,
st_17570,강남역사거리,,
st_17571,포포인츠 바이쉐라톤 서울강남,,
st_17572,더채플앳논현,,
st_17573,필경재,,
st_17577,보산새마을금고 본점,,
st_17578,조이마당스튜디오,,
st_17579,도담터스튜디오,,
st_17582,얼반웍스 스튜디오,,
st_17583,경희대학교 평화복지대학원,,
st_17584,수원대학교(학군단앞연못쪽),,
st_17585,마임비전빌리지,,
st_17587,비룡동관로,,
st_17588,선샤인스튜디오,,
st_17589,진용로,,
st_17590,용담대교,,
st_17591,용담호사진문화관,,
st_17592,줄포리,,
st_17593,남부안농협 줄포지점,,
st_17594,삼성마트,,
